Subseries notch,,,,,,,
Series1,origin,Series2,origin,Series3,origin,Series4,origin 
GSM1399192,GSE57982,GSM1399196,GSE57982,GSM1446795,GSE59810,GSM2981807,GSE110179
GSM1399193,GSE57982,GSM1399197,GSE57982,GSM1446796,GSE59810,GSM2981808,GSE110179
GSM1399194,GSE57982,GSM1399198,GSE57982,GSM1446797,GSE59810,GSM2981809,GSE110179
GSM1399195,GSE57982,GSM1399199,GSE57982,GSM1446798,GSE59810,GSM2981810,GSE110179
GSM1382041,GSE57397,GSM1399200,GSE57982,GSM1446799,GSE59810,GSM2044443,GSE77108
GSM1382042,GSE57397,GSM1399201,GSE57982,GSM1446800,GSE59810,GSM2044444,GSE77108
GSM1382045,GSE57397,GSM1399202,GSE57982,GSM1446801,GSE59810,GSM2044445,GSE77108
GSM1382046,GSE57397,GSM1399203,GSE57982,GSM1446802,GSE59810,GSM2044446,GSE77108
GSM1511873,GSE61727,GSM1399204,GSE57982,GSM1446803,GSE59810,GSM2044447,GSE77108
GSM1511874,GSE61727,GSM1399205,GSE57982,GSM2981803,GSE110179,GSM2044448,GSE77108
GSM1511875,GSE61727,GSM1399206,GSE57982,GSM2981804,GSE110179,,
GSM1511876,GSE61727,GSM1399207,GSE57982,GSM2981805,GSE110179,,
GSM2044419,GSE77108,GSM1399208,GSE57982,GSM2981806,GSE110179,,
GSM2044420,GSE77108,GSM1399209,GSE57982,GSM2044428,GSE77108,,
GSM2044421,GSE77108,GSM1399210,GSE57982,GSM2044429,GSE77108,,
GSM2044425,GSE77108,GSM1382043,GSE57397,GSM2044430,GSE77108,,
GSM2044426,GSE77108,GSM1382044,GSE57397,GSM2044431,GSE77108,,
GSM2044427,GSE77108,GSM1382047,GSE57397,GSM2044432,GSE77108,,
GSM3104156,GSE113353,GSM1382048,GSE57397,GSM2044433,GSE77108,,
GSM3104157,GSE113353,GSM1511877,GSE61727,,,,
GSM3104158,GSE113353,GSM1511878,GSE61727,,,,
GSM3104159,GSE113353,GSM1511879,GSE61727,,,,
GSM3104160,GSE113353,GSM1511880,GSE61727,,,,
GSM3104161,GSE113353,GSM2044434,GSE77108,,,,
GSM3118987,GSE113753,GSM2044435,GSE77108,,,,
GSM3118991,GSE113753,GSM2044436,GSE77108,,,,
GSM3118995,GSE113753,GSM2044440,GSE77108,,,,
GSM1446777,GSE59810,GSM2044441,GSE77108,,,,
GSM1446778,GSE59810,GSM2044442,GSE77108,,,,
GSM1446779,GSE59810,GSM3104162,GSE113353,,,,
GSM1446780,GSE59810,GSM3104163,GSE113353,,,,
GSM1446781,GSE59810,GSM3104164,GSE113353,,,,
GSM1446782,GSE59810,GSM3104165,GSE113353,,,,
GSM1446783,GSE59810,GSM3104166,GSE113353,,,,
GSM1446784,GSE59810,GSM3104167,GSE113353,,,,
GSM1446785,GSE59810,GSM1446786,GSE59810,,,,
GSM2193306,GSE83126,GSM1446787,GSE59810,,,,
GSM2193307,GSE83126,GSM1446788,GSE59810,,,,
GSM2193308,GSE83126,GSM1446789,GSE59810,,,,
GSM2193309,GSE83126,GSM1446790,GSE59810,,,,
GSM2193310,GSE83126,GSM1446791,GSE59810,,,,
GSM2193311,GSE83126,GSM1446792,GSE59810,,,,
GSM2410110,GSE90657,GSM1446793,GSE59810,,,,
GSM2410111,GSE90657,GSM1446794,GSE59810,,,,
GSM2410112,GSE90657,GSM2193312,GSE83126,,,,
GSM2410113,GSE90657,GSM2193313,GSE83126,,,,
GSM2410114,GSE90657,GSM2193314,GSE83126,,,,
GSM2410115,GSE90657,GSM2193315,GSE83126,,,,
GSM2981795,GSE110179,GSM2193316,GSE83126,,,,
GSM2981796,GSE110179,GSM2193317,GSE83126,,,,
GSM2981797,GSE110179,GSM2410116,GSE90657,,,,
GSM2981798,GSE110179,GSM2410117,GSE90657,,,,
GSM3290180,GSE117264,GSM2410118,GSE90657,,,,
GSM3290181,GSE117264,GSM2410119,GSE90657,,,,
GSM3290182,GSE117264,GSM2410120,GSE90657,,,,
GSM3290183,GSE117264,GSM2410121,GSE90657,,,,
GSM3290184,GSE117264,GSM2981799,GSE110179,,,,
GSM3290185,GSE117264,GSM2981800,GSE110179,,,,
GSM2048441,GSE77308,GSM2981801,GSE110179,,,,
GSM2048442,GSE77308,GSM2981802,GSE110179,,,,
GSM2048449,GSE77308,GSM3290186,GSE117264,,,,
GSM2048450,GSE77308,GSM3290187,GSE117264,,,,
GSM2571839,GSE97541,GSM3290188,GSE117264,,,,
GSM2571840,GSE97541,GSM3290189,GSE117264,,,,
GSM2571841,GSE97541,GSM3290190,GSE117264,,,,
GSM2571842,GSE97541,GSM3290191,GSE117264,,,,
GSM2571843,GSE97541,GSM2571848,GSE97541,,,,
GSM2571844,GSE97541,GSM2571849,GSE97541,,,,
GSM2571845,GSE97541,GSM2571850,GSE97541,,,,
GSM2571846,GSE97541,GSM2571851,GSE97541,,,,
GSM2571847,GSE97541,GSM2571852,GSE97541,,,,
,,GSM2571853,GSE97541,,,,
,,GSM2571854,GSE97541,,,,
,,GSM2571855,GSE97541,,,,
,,GSM2571856,GSE97541,,,,
