Subseries PI3K,,,,,,,,,
Series1,origin,Series2,origin,Series3,origin,Series4,origin ,Series5,origin
GSM1847259,GSE71900,GSM1847263,GSE71900,GSM1709521,GSE69822,GSM1709527,GSE69822,GSM1709530,GSE69822
GSM1847260,GSE71900,GSM1847264,GSE71900,GSM1709522,GSE69822,GSM1709528,GSE69822,GSM1709531,GSE69822
GSM1847261,GSE71900,GSM1847265,GSE71900,GSM1709523,GSE69822,GSM1709529,GSE69822,GSM1709532,GSE69822
GSM1847262,GSE71900,GSM1847266,GSE71900,GSM1709539,GSE69822,GSM1709545,GSE69822,GSM1709548,GSE69822
GSM1709515,GSE69822,GSM1709518,GSE69822,GSM1709540,GSE69822,GSM1709546,GSE69822,GSM1709549,GSE69822
GSM1709516,GSE69822,GSM1709519,GSE69822,GSM1709541,GSE69822,GSM1709547,GSE69822,GSM1709550,GSE69822
GSM1709517,GSE69822,GSM1709520,GSE69822,GSM1709560,GSE69822,GSM1709566,GSE69822,GSM1709569,GSE69822
GSM1709533,GSE69822,GSM1709536,GSE69822,GSM1709561,GSE69822,GSM1709567,GSE69822,GSM1709570,GSE69822
GSM1709534,GSE69822,GSM1709537,GSE69822,GSM1709562,GSE69822,GSM1709568,GSE69822,GSM1709571,GSE69822
GSM1709535,GSE69822,GSM1709538,GSE69822,GSM1709578,GSE69822,GSM1709584,GSE69822,GSM1709587,GSE69822
GSM1709554,GSE69822,GSM1709557,GSE69822,GSM1709579,GSE69822,GSM1709585,GSE69822,GSM1709588,GSE69822
GSM1709555,GSE69822,GSM1709558,GSE69822,GSM1709580,GSE69822,GSM1709586,GSE69822,GSM1709589,GSE69822
GSM1709556,GSE69822,GSM1709559,GSE69822,GSM2082521,GSE78959,GSM2082575,GSE78960,GSM2082543,GSE78960
GSM1709572,GSE69822,GSM1709575,GSE69822,GSM2082522,GSE78959,GSM2082576,GSE78960,GSM2082544,GSE78960
GSM1709573,GSE69822,GSM1709576,GSE69822,GSM2082523,GSE78959,,,GSM2082555,GSE78960
GSM1709574,GSE69822,GSM1709577,GSE69822,GSM2082524,GSE78959,,,GSM2082556,GSE78960
GSM2082509,GSE78959,GSM2082515,GSE78959,GSM2082525,GSE78959,,,GSM2082567,GSE78960
GSM2082510,GSE78959,GSM2082516,GSE78959,GSM2082526,GSE78959,,,GSM2082568,GSE78960
GSM2082511,GSE78959,GSM2082517,GSE78959,GSM2082537,GSE78960,,,GSM2082579,GSE78960
GSM2082512,GSE78959,GSM2082518,GSE78959,GSM2082538,GSE78960,,,GSM2082580,GSE78960
GSM2082513,GSE78959,GSM2082519,GSE78959,GSM2082549,GSE78960,,,,
GSM2082514,GSE78959,GSM2082520,GSE78959,GSM2082550,GSE78960,,,,
GSM2082533,GSE78960,GSM2082535,GSE78960,GSM2082561,GSE78960,,,,
GSM2082534,GSE78960,GSM2082536,GSE78960,GSM2082562,GSE78960,,,,
GSM2082545,GSE78960,GSM2082547,GSE78960,GSM2082573,GSE78960,,,,
GSM2082546,GSE78960,GSM2082548,GSE78960,GSM2082574,GSE78960,,,,
GSM2082557,GSE78960,GSM2082559,GSE78960,GSM3231613,GSE107707,,,,
GSM2082558,GSE78960,GSM2082560,GSE78960,GSM3231614,GSE107707,,,,
GSM2082569,GSE78960,GSM2082571,GSE78960,GSM3231615,GSE107707,,,,
GSM2082570,GSE78960,GSM2082572,GSE78960,GSM3231619,GSE107707,,,,
GSM2876326,GSE107707,GSM2876338,GSE107707,GSM3231620,GSE107707,,,,
GSM2876327,GSE107707,GSM2876339,GSE107707,GSM3231621,GSE107707,,,,
GSM2876328,GSE107707,GSM2876340,GSE107707,GSM3347933,GSE118799,,,,
GSM2876332,GSE107707,GSM2876341,GSE107707,GSM3347934,GSE118800,,,,
GSM2876333,GSE107707,GSM2876342,GSE107707,GSM3347937,GSE118801,,,,
GSM2876334,GSE107707,GSM2876343,GSE107707,GSM3347938,GSE118802,,,,
GSM3737455,GSE130396,GSM4013796,GSE135527,GSM3347939,GSE118803,,,,
GSM3737456,GSE130396,GSM4013797,GSE135527,,,,,,
GSM3737457,GSE130396,GSM4013798,GSE135527,,,,,,
GSM3737458,GSE130396,GSM4013799,GSE135527,,,,,,
GSM3737459,GSE130396,GSM4013802,GSE135527,,,,,,
GSM3737460,GSE130396,GSM4013803,GSE135527,,,,,,
GSM4013794,GSE135527,GSM4013804,GSE135527,,,,,,
GSM4013795,GSE135527,GSM4013805,GSE135527,,,,,,
GSM4013800,GSE135527,GSM2476127,GSE94461,,,,,,
GSM4013801,GSE135527,GSM2476128,GSE94461,,,,,,
GSM2476123,GSE94461,GSM2476129,GSE94461,,,,,,
GSM2476124,GSE94461,GSM2476130,GSE94461,,,,,,
GSM2476125,GSE94461,,,,,,,,
GSM2476126,GSE94461,,,,,,,,
