Case and control annotation PI3K,,,
Case  ,Control,,no_case_control
GSM1847261,GSM1847259,,GSE85133
GSM1847262,GSM1847260,,
GSM1847265,GSM1847263,,
GSM1847266,GSM1847264,,
GSM3604969,GSM2082533,,
GSM3604970,GSM2082534,,
GSM3604971,GSM2082545,,
GSM3604972,GSM2082546,,
GSM3604973,GSM2082535,,
GSM3604974,GSM2082536,,
GSM3400790,GSM2082547,,
GSM3400791,GSM2082548,,
GSM3400792,GSM2082537,,
GSM4013800,GSM2082538,,
GSM4013801,GSM2082549,,
GSM2131185,GSM2082550,,
GSM2131186,GSM2082539,,
GSM4101090,GSM2082540,,
GSM4101091,GSM2082551,,
GSM4101092,GSM2082552,,
GSM3673591,GSM2082541,,
GSM3673592,GSM2082542,,
GSM3673593,GSM2082553,,
GSM1709536,GSM2082554,,
GSM1709537,GSM2082543,,
GSM1709538,GSM2082544,,
GSM1709539,GSM2082555,,
GSM1709540,GSM2082556,,
GSM1709541,GSM2705024,,
GSM1709542,GSM2705027,,
GSM1709543,GSM2705030,,
GSM1709544,GSM2876332,,
GSM1709545,GSM2876333,,
GSM1709546,GSM2876334,,
GSM1709547,GSM3231619,,
GSM1709548,GSM3231620,,
GSM1709549,GSM3231621,,
GSM1709550,GSM3347866,,
GSM3721966,GSM3347867,,
GSM3721967,GSM3347868,,
GSM3721968,GSM3347890,,
,GSM3347891,,
,GSM3347892,,
,GSM3347914,,
,GSM3347915,,
,GSM3347916,,
,GSM3347937,,
,GSM3347938,,
,GSM3347939,,
,GSM4013799,,
,GSM2131183,,
,GSM2131184,,
,GSM3070244,,
,GSM3070245,,
,GSM3070246,,
,GSM2476124,,
,GSM2476126,,
,GSM2476128,,
,GSM2476130,,
,GSM4013802,,
,GSM4013803,,
,GSM4013804,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
