Removed Series and Samples,,,
Series,Reason,Sample,Reason
GSE126788,irrelevant setup,GSM2046873,"basal controls, keep siCTR"
GSE51124,irrelevant setup,GSM2046874,"basal controls, keep siCTR"
GSE65999,irrelevant setup,GSM2046875,"basal controls, keep siCTR"
GSE74927,irrelevant setup,GSM2046876,"basal controls, keep siCTR"
GSE55534,irrelevant setup,GSM2046877,"basal controls, keep siCTR"
GSE62852,irrelevant setup,GSM2046878,"basal controls, keep siCTR"
GSE77538,irrelevant setup,GSM1917092,irrelevant knockout 
GSE74369,irrelevant setup,GSM1917093,irrelevant knockout 
GSE85783,irrelevant setup,GSM1917094,irrelevant knockout 
GSE89872,irrelevant setup,GSM1917095,irrelevant knockout 
GSE76903,irrelevant setup,GSM1917096,irrelevant knockout 
GSE79210,irrelevant setup,GSM1917097,irrelevant knockout 
GSE83652,irrelevant setup,GSM1917098,irrelevant knockout 
GSE88931,irrelevant setup,GSM1917099,irrelevant knockout 
GSE104766,irrelevant setup,GSM1917100,irrelevant knockout 
GSE99133,irrelevant setup,GSM1917101,irrelevant knockout 
GSE90063,irrelevant setup,GSM1917102,irrelevant knockout 
GSE110496,irrelevant setup,GSM1917103,irrelevant knockout 
GSE80609,irrelevant setup,GSM1917104,irrelevant knockout 
GSE94660,irrelevant setup,GSM1917105,irrelevant knockout 
GSE104782,irrelevant setup,GSM1917106,irrelevant knockout 
GSE118734,only one sample,GSM1917107,irrelevant knockout 
GSE107600,irrelevant setup,GSM1917108,irrelevant knockout 
GSE120201,irrelevant setup,GSM1917109,irrelevant knockout 
GSE116672,irrelevant setup,GSM1917110,irrelevant knockout 
GSE123070,irrelevant setup,GSM1917111,irrelevant knockout 
GSE117446,irrelevant setup,GSM1917112,irrelevant knockout 
GSE93939,irrelevant setup,GSM1917113,irrelevant knockout 
GSE120920,irrelevant setup,GSM1917114,irrelevant knockout 
GSE125977,irrelevant setup,GSM1917115,irrelevant knockout 
GSE117994,irrelevant setup,GSM1917116,irrelevant knockout 
GSE134056,irrelevant setup,GSM1917117,irrelevant knockout 
GSE135842,too many knockouts -> maybe reevaluate ,GSM1917118,irrelevant knockout 
GSE120396,irrelevant setup,GSM1917128,irrelevant knockout 
GSE138518,irrelevant setup,GSM1917129,irrelevant knockout 
GSE114981,irrelevant setup,GSM1917130,irrelevant knockout 
GSE40111,irrelevant setup,GSM1917131,irrelevant knockout 
GSE61586,irrelevant setup,GSM1917132,irrelevant knockout 
GSE81485,irrelevant setup,GSM1917133,irrelevant knockout 
GSE75234,irrelevant setup,GSM1917134,irrelevant knockout 
GSE55716,irrelevant setup,GSM1917135,irrelevant knockout 
GSE88612,irrelevant setup,GSM1917136,irrelevant knockout 
GSE76661,irrelevant setup,GSM1917137,irrelevant knockout 
GSE71456,irrelevant setup,GSM1917138,irrelevant knockout 
GSE97356,irrelevant setup,GSM1917139,irrelevant knockout 
GSE108347,only two samples,GSM1917140,irrelevant knockout 
GSE103868,irrelevant setup,GSM1917141,irrelevant knockout 
GSE116501,irrelevant setup,GSM1917142,irrelevant knockout 
GSE114159,irrelevant setup,GSM1917143,irrelevant knockout 
GSE125247,only two samples,GSM1917144,irrelevant knockout 
GSE125248,only two samples,GSM1917145,irrelevant knockout 
GSE125250,only two samples,GSM1917146,irrelevant knockout 
GSE125251,only two samples,GSM1917147,irrelevant knockout 
GSE125252,only one sample,GSM1917148,irrelevant knockout 
GSE104232,irrelevant setup,GSM1917149,irrelevant knockout 
GSE127160,only two samples,GSM1917150,irrelevant knockout 
GSE97341,irrelevant setup,GSM1917151,irrelevant knockout 
GSE137211,irrelevant setup,GSM1917152,irrelevant knockout 
GSE99987,irrelevant setup,GSM1917153,irrelevant knockout 
GSE105454,irrelevant setup,GSM1917154,irrelevant knockout 
GSE62820,irrelevant setup,GSM2501581,irrelevant knockout 
GSE77276,irrelevant setup,GSM2501582,irrelevant knockout 
GSE89226,no clustering,GSM2501583,irrelevant knockout 
GSE93365,no clustering,GSM2501584,irrelevant knockout 
GSE95057,no clustering,GSM2501587,irrelevant knockout 
GSE95304,no clustering,GSM2501588,irrelevant knockout 
GSE101766,no clustering,GSM2501589,irrelevant knockout 
GSE134095,no clustering,GSM2501590,irrelevant knockout 
GSE118798,no controls,GSM1924559,irrelevant condition 
GSE64016,"no cases, no differences between phases",GSM1924560,irrelevant condition 
,,GSM1924561,irrelevant condition 
,,GSM1924565,irrelevant treatment
,,GSM1924566,irrelevant treatment
,,GSM1924567,irrelevant treatment
,,GSM2248003,irrelevant knockout 
,,GSM2248004,irrelevant knockout 
,,GSM2248005,irrelevant knockout 
,,GSM2248006,irrelevant knockout 
,,GSM2248007,irrelevant knockout 
,,GSM2248008,irrelevant knockout 
,,GSM2248012,irrelevant knockout 
,,GSM2248013,irrelevant knockout 
,,GSM2248014,irrelevant knockout 
,,GSM2248015,irrelevant knockout 
,,GSM2248016,irrelevant knockout 
,,GSM2248017,irrelevant knockout 
,,GSM2248018,irrelevant knockout 
,,GSM2248019,irrelevant knockout 
,,GSM2248020,irrelevant knockout 
,,GSM2248021,irrelevant knockout 
,,GSM2938989,irrelevant knockout 
,,GSM2938990,irrelevant knockout 
,,GSM2938993,irrelevant knockout 
,,GSM2938994,irrelevant knockout 
,,GSM2938995,irrelevant knockout 
,,GSM2938996,irrelevant knockout 
,,GSM2938999,irrelevant knockout 
,,GSM2939000,irrelevant knockout 
,,GSM2714865,irrelevant knockout 
,,GSM2714866,irrelevant knockout 
,,GSM2714867,irrelevant knockout 
,,GSM2714868,irrelevant knockout 
,,GSM2714869,irrelevant knockout 
,,GSM2714870,irrelevant knockout 
,,GSM2714871,irrelevant knockout 
,,GSM2714872,irrelevant knockout 
,,GSM2714873,irrelevant knockout 
,,GSM2714874,irrelevant knockout 
,,GSM2714875,irrelevant knockout 
,,GSM2714876,irrelevant knockout 
,,GSM2714877,irrelevant knockout 
,,GSM2714878,irrelevant knockout 
,,GSM2714879,irrelevant knockout 
,,GSM2714880,irrelevant knockout 
,,GSM2714881,irrelevant knockout 
,,GSM2714882,irrelevant knockout 
,,GSM2714883,irrelevant knockout 
,,GSM2714884,irrelevant knockout 
,,GSM2714885,irrelevant knockout 
,,GSM2714886,irrelevant knockout 
,,GSM2714887,irrelevant knockout 
,,GSM2714888,irrelevant knockout 
