Removed series and samples notch ,,,,
Series,Reason,Samples,Reason,no_case_control
GSE73362,irrelevant setup,GSM1399180,irrelevant knockout,GSE103046
GSE78785,only two samples,GSM1399181,irrelevant knockout,
GSE57395,irrelevant setup,GSM1399182,irrelevant knockout,
GSE85782,irrelevant setup,GSM1399183,irrelevant knockout,
GSE99180,irrelevant setup,GSM1399184,irrelevant knockout,
GSE95028,confusing set up,GSM1399185,irrelevant knockout,
GSE56887,irrelevant setup,GSM1399186,irrelevant knockout,
GSE71359,irrelevant setup,GSM1399187,irrelevant knockout,
GSE79253,irrelevant setup,GSM1399188,irrelevant knockout,
GSE89385,irrelevant setup,GSM1399189,irrelevant knockout,
GSE108763,irrelevant setup,GSM1399190,irrelevant knockout,
GSE95648,irrelevant setup,GSM1399191,irrelevant knockout,
GSE106699,irrelevant pathway,GSM2048425,irrelevant knockout,
GSE115464,irrelevant pathway,GSM2048426,irrelevant knockout,
GSE126029,irrelevant pathway,GSM2048427,irrelevant knockout,
GSE123485,irrelevant setup,GSM2048428,irrelevant knockout,
GSE65039,only two samples,GSM2048429,irrelevant knockout,
GSE68975,only one sample,GSM2048430,irrelevant knockout,
GSE98852,irrelevant setup,GSM2048431,irrelevant knockout,
GSE84675,irrelevant setup,GSM2048432,irrelevant knockout,
GSE66744,irrelevant setup,GSM2048433,irrelevant knockout,
GSE63034,no difference between case and control,GSM2048434,irrelevant knockout,
GSE69157,no difference between case and control,GSM2048435,irrelevant knockout,
GSE79684,no difference between case and control,GSM2048436,irrelevant knockout,
GSE89879,no difference between case and control,GSM2048439,irrelevant knockout,
GSE128563,no difference between case and control,GSM2048440,irrelevant knockout,
GSE141140,no difference between case and control,GSM2048445,irrelevant knockout,
GSE83128,irrelevant setup,GSM2048446,irrelevant knockout,
GSE117264,irrelevant setup,GSM2048447,irrelevant knockout,
GSE97460,screen,GSM2048448,irrelevant knockout,
GSE57397,wrong direction,GSM2048453,irrelevant knockout,
GSE61727,wrong direction,GSM2048454,irrelevant knockout,
GSE124429,wrong direction,GSM2048455,irrelevant knockout,
,,GSM2048456,irrelevant knockout,
,,GSM2048457,irrelevant knockout,
,,GSM2048458,irrelevant knockout,
,,GSM2048459,irrelevant knockout,
,,GSM2048460,irrelevant knockout,
