Removed samples and series PI3K ,,,
Series,Reason,Sample,Reason 
GSE81214,irrelevant setup,GSM1709551,irrelevant treatment
GSE63840,irrelevant setup,GSM1709552,irrelevant treatment
GSE55939,irrelevant setup,GSM1709553,irrelevant treatment
GSE63843,only two samples,GSM1709551,irrelevant treatment
GSE73114,irrelevant setup,GSM1709552,irrelevant treatment
GSE89403,irrelevant setup,GSM1709553,irrelevant treatment
GSE94438,irrelevant setup,GSM1899719,irrelevant knockout
GSE85011,irrelevant setup,GSM1899720,irrelevant knockout
GSE115616,irrelevant setup,GSM1899721,irrelevant knockout
GSE121226,irrelevant setup,GSM1899722,irrelevant knockout
GSE126397,irrelevant setup,GSM1899723,irrelevant knockout
GSE117469,irrelevant setup,GSM1899724,irrelevant knockout
GSE85133,irrelevant setup,GSM1899725,irrelevant knockout
GSE68086,not enough relevant samples,GSM1899726,irrelevant knockout
GSE99133,irrelevant setup,GSM1899727,irrelevant knockout
GSE118750,irrelevant setup,GSM1899728,irrelevant knockout
GSE123573,irrelevant setup,GSM1899729,irrelevant knockout
GSE130513,irrelevant setup (only mutants),GSM1899730,irrelevant knockout
GSE94461,irrelevant treatment,GSM1899731,irrelevant knockout
GSE113144,no difference between case and control,GSM1899732,irrelevant knockout
GSE94980,no difference between case and control,GSM1899733,irrelevant knockout
GSE110610,no difference between case and control,GSM1899734,irrelevant knockout
GSE111584,no difference between case and control,GSM1899735,irrelevant knockout
GSE112445,no difference between case and control,GSM1899736,irrelevant knockout
GSE118798,no difference between case and control,GSM1899737,irrelevant knockout
,,GSM1899738,irrelevant knockout
,,GSM1899739,irrelevant knockout
,,GSM1899740,irrelevant knockout
,,GSM1899741,irrelevant knockout
,,GSM1899748,irrelevant knockout
,,GSM1899749,irrelevant knockout
,,GSM1899750,irrelevant knockout
,,GSM1899751,irrelevant knockout
,,GSM1899752,irrelevant knockout
,,GSM1899753,irrelevant knockout
,,GSM2192660,irrelevant overexpression
,,GSM2192661,irrelevant overexpression
,,GSM2192662,irrelevant overexpression
,,GSM2192663,irrelevant overexpression
,,GSM2192664,irrelevant overexpression
,,GSM2192665,irrelevant overexpression
,,GSM2192666,irrelevant overexpression
,,GSM2192667,irrelevant overexpression
,,GSM2192668,irrelevant overexpression
,,GSM2192669,irrelevant overexpression
,,GSM2192670,irrelevant overexpression
,,GSM2192671,irrelevant overexpression
,,GSM2192672,irrelevant overexpression
,,GSM2192673,irrelevant overexpression
,,GSM2192674,irrelevant overexpression
,,GSM2192675,irrelevant overexpression
,,GSM2192676,irrelevant overexpression
,,GSM2192677,irrelevant overexpression
,,GSM2192678,irrelevant overexpression
,,GSM2192679,irrelevant overexpression
,,GSM2192680,irrelevant overexpression
,,GSM2192681,irrelevant overexpression
,,GSM2192682,irrelevant overexpression
,,GSM2192689,irrelevant control
,,GSM2192690,irrelevant control
,,GSM2192691,irrelevant control
,,GSM2192692,irrelevant control
,,GSM2192693,irrelevant control
,,GSM2192694,irrelevant control
,,GSM2192695,irrelevant control
,,GSM2192696,irrelevant control
,,GSM2192697,irrelevant control
,,GSM2192698,irrelevant control
,,GSM2192699,irrelevant overexpression
,,GSM2192700,irrelevant overexpression
,,GSM2192701,irrelevant overexpression
,,GSM2192702,irrelevant overexpression
,,GSM2192703,irrelevant overexpression
,,GSM2192704,irrelevant overexpression
,,GSM2192705,irrelevant overexpression
,,GSM2192706,irrelevant overexpression
,,GSM2705023,irrelevant treatment
,,GSM2705026,irrelevant treatment
,,GSM2705029,irrelevant treatment
,,GSM2493107,irrelevant control
,,GSM2493108,irrelevant control
,,GSM2493109,irrelevant control
,,GSM2493110,irrelevant control
,,GSM2493111,irrelevant control
,,GSM2493112,irrelevant control
,,GSM2493113,irrelevant control
,,GSM2493114,irrelevant control
,,GSM2493115,irrelevant control
,,GSM2493116,irrelevant control
,,GSM2493117,irrelevant control
,,GSM2493118,irrelevant control
,,GSM2493119,irrelevant control
,,GSM2493120,irrelevant control
,,GSM2493121,irrelevant control
,,GSM2493122,irrelevant control
,,GSM2493123,irrelevant control
,,GSM2493124,irrelevant control
,,GSM2493125,irrelevant control
,,GSM2493126,irrelevant control
,,GSM2493287,irrelevant knockout
,,GSM2493288,irrelevant knockout
,,GSM2493289,irrelevant knockout
,,GSM2493290,irrelevant knockout
,,GSM2493291,irrelevant knockout
,,GSM2493292,irrelevant knockout
,,GSM2493293,irrelevant knockout
,,GSM2493294,irrelevant knockout
,,GSM2493295,irrelevant knockout
,,GSM2493296,irrelevant knockout
,,GSM2493297,irrelevant knockout
,,GSM2493298,irrelevant knockout
,,GSM2493299,irrelevant knockout
,,GSM2493300,irrelevant knockout
,,GSM2493301,irrelevant knockout
,,GSM2493302,irrelevant knockout
,,GSM2493303,irrelevant knockout
,,GSM2493304,irrelevant knockout
,,GSM2493305,irrelevant knockout
,,GSM2493306,irrelevant knockout
,,GSM2493307,irrelevant knockout
,,GSM2493308,irrelevant knockout
,,GSM2493309,irrelevant knockout
,,GSM2493310,irrelevant knockout
,,GSM2493311,irrelevant knockout
,,GSM2493312,irrelevant knockout
,,GSM2493313,irrelevant knockout
,,GSM2493314,irrelevant knockout
,,GSM2493315,irrelevant knockout
,,GSM2493316,irrelevant knockout
,,GSM2493317,irrelevant knockout
,,GSM2493318,irrelevant knockout
,,GSM2493319,irrelevant knockout
,,GSM2493320,irrelevant knockout
,,GSM2493321,irrelevant knockout
,,GSM2493322,irrelevant knockout
,,GSM2493323,irrelevant knockout
,,GSM2493324,irrelevant knockout
,,GSM2493325,irrelevant knockout
,,GSM2493326,irrelevant knockout
,,GSM2493327,irrelevant knockout
,,GSM2493328,irrelevant knockout
,,GSM2493329,irrelevant knockout
,,GSM2493330,irrelevant knockout
,,GSM2493331,irrelevant knockout
,,GSM2493332,irrelevant knockout
,,GSM2493333,irrelevant knockout
,,GSM2493334,irrelevant knockout
,,GSM2493335,irrelevant knockout
,,GSM2493336,irrelevant knockout
,,GSM2493337,irrelevant knockout
,,GSM2493338,irrelevant knockout
,,GSM2493339,irrelevant knockout
,,GSM2493340,irrelevant knockout
,,GSM2493341,irrelevant knockout
,,GSM2493342,irrelevant knockout
,,GSM2493343,irrelevant knockout
,,GSM2493344,irrelevant knockout
,,GSM2493345,irrelevant knockout
,,GSM2493346,irrelevant knockout
,,GSM2493347,irrelevant knockout
,,GSM2493348,irrelevant knockout
,,GSM2493349,irrelevant knockout
,,GSM2493350,irrelevant knockout
,,GSM2493351,irrelevant knockout
,,GSM2493352,irrelevant knockout
,,GSM2493353,irrelevant knockout
,,GSM2493354,irrelevant knockout
,,GSM2493355,irrelevant knockout
,,GSM2493356,irrelevant knockout
,,GSM2493357,irrelevant knockout
,,GSM2493358,irrelevant knockout
,,GSM2493359,irrelevant knockout
